,Regalo,Descripción,Link de compra 1,Link de compra 2,Estado,Invitado que lo eligió
0,BAÑERA CON ACCESORIOS,,https://www.instagram.com/reel/DJmbGp4tn5G/?utm_source=ig_web_copy_link&igsh=ZHdjajA4dDV0aXpy,https://www.carestino.cl/producto/tina-plegable-con-soporte-amalfi-50l-gris/,Disponible,
1,COCHE,,https://infanti.cl/products/coches-travel-system-epic-6g-532,https://www.carestino.cl/producto/coche-kiev-accesorios-azul/,Disponible,
2,PAÑALERA,,https://www.carestino.cl/producto/mochila-maternal-berna-negro/,https://infanti.cl/collections/bolsos-y-mochilas/products/mochila-mudador-backpack-carbono,Disponible,
3,COJIN DE LACTANCIA,,https://articulo.mercadolibre.cl/MLC-2905707040-almohada-de-lactancia-almohada-de-maternidad-almohada-de-beb-_JM?searchVariation=188185413945#is_advertising=true&searchVariation=188185413945&backend_model=search-backend&position=12&search_layout=grid&type=pad&tracking_id=7fb683af-26d8-4ef2-8372-2411f31314ea&ad_domain=VQCATCORE_LST&ad_position=12&ad_click_id=OWU1MWM4MzItZjg1MC00NjMyLTk3MDEtOTJmODk4YzgwMjI4,https://www.mercadolibre.cl/almohada-cojin-de-lactancia-para-bebe-amamantar-antirreflujo-color-blanco-liso/p/MLC52286244#polycard_client=search_best-seller-categories&tracking_id=72fb64ac-ae81-4507-8f4c-940dceb9c67f&wid=MLC2966478238&sid=search,Disponible,
4,MONITOR DE BEBE,,https://www.falabella.com/falabella-cl/product/135764635/Almohada-De-Lactancia-Para-Mama-Y-Bebe-Cojin-Comodidad/135764636,https://www.mercadolibre.cl/monitor-bebe-camara-ip-seguridad-vigilancia-ninos-wifi-video-llamadas-deteccion-de-movimiento-y-llanto/p/MLC40491252?has_official_store=false&highlight=true&headerTopBrand=false#polycard_client=search-nordic&search_layout=stack&position=1&type=product&tracking_id=43f33e03-0455-4138-ab16-c1cd408abb17&wid=MLC1653133175&sid=search,Disponible,
5,CARRITO ORGANIZADOR,,https://www.mercadolibre.cl/carrito-plegable-organizador-estante-con-ruedas/up/MLCU3469916770?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=38&type=product&tracking_id=f3647bfc-8f4a-4866-8875-ff75660dfe83&wid=MLC1712552205&sid=search,https://www.ikea.com/cl/es/p/nissafors-carro-negro-20399777/#content,Disponible,
6,FULAR TELA PORTABEBE ERGONÓMICO,,https://articulo.mercadolibre.cl/MLC-3100749064-fular-tela-portabebe-ergonomico-_JM?has_official_store=false&highlight=true&searchVariation=190166816105&headerTopBrand=false#polycard_client=search-nordic&searchVariation=190166816105&search_layout=grid&position=11&type=item&tracking_id=a0cf705c-78dc-4240-bc0b-21c89369d9de,https://www.mercadolibre.cl/fular-portabebe-semielasticado-100-algodon-amamantas-negro/up/MLCU332192361#polycard_client=search_best-seller&tracking_id=899c9fb4-b10d-459d-ace4-71dc5fbabb2a&wid=MLC1468981749&sid=search,Disponible,
7,KIT CON TERMOMETRO,,https://babyelephant.cl/products/kit-de-cuidado-personal-para-bebe-azul,https://www.mercadolibre.cl/kit-de-aseo-y-salud-deluxe-para-bebes-safety-1st-celeste/up/MLCU359532532#polycard_client=search_best-seller&tracking_id=4ef3555f-7c53-469d-9fff-66776d60e4d6&wid=MLC2389843254&sid=search,Disponible,
8,CAMBIADOR PORTATIL IMPERMEABLE,,https://www.mercadolibre.cl/mudador-cambiador-plegable-y-portatil-para-cambiar-panales-color-azul/p/MLC45465604#polycard_client=search_best-seller&tracking_id=d1ddb969-1b28-4be0-95c4-1837e6e8f159&wid=MLC2832353568&sid=search,https://www.mercadolibre.cl/mudador-portatil-impermeable-bebe-cambiador-plegable-color-gris-liso/p/MLC52256392#polycard_client=search_best-seller&tracking_id=f313533d-26e9-42f7-ab71-7163ce1db2bb&wid=MLC2966125770&sid=search,Disponible,
9,GYM BEBE,,https://www.mercadolibre.cl/tapete-gymini-black-white-magical-tales-tiny-love/p/MLC26406126?has_official_store=false&highlight=true&headerTopBrand=true#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=16270d48-a341-43eb-958d-724bc716fda3&wid=MLC2251561816&sid=search,https://www.mercadolibre.cl/tapete-gimnasio-y-corral-juguete-para-bebe-con-30-pelotas-color-leon/p/MLC27714166#polycard_client=recommendations_pdp-v2p&reco_backend=ranker_retrieval_system_org&reco_model=rk_ent_v3_retsys_org&reco_client=pdp-v2p&reco_item_pos=3&reco_backend_type=low_level&reco_id=d19a7a77-17d7-4451-a2a4-36e8ee46926e&wid=MLC1685953491&sid=recos,Disponible,
